Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2017,SL_TLF_CHLDEC,,Y5T17,PT,A,0,,9.1
2019,SL_TLF_CHLDEC,,Y5T17,PT,A,0,,1.2
