Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2019,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,,2.5
2021,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,,2.5
2022,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,,5.2
2023,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,,5.7
