Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2019,SE_PRE_PARTN,,,,PT,A,0,,81.0
2024,SE_PRE_PARTN,,,,PT,A,0,,78.7
2024,SE_PRE_PARTN,,,R,PT,A,0,,76.1
2024,SE_PRE_PARTN,,,U,PT,A,0,,83.7
2024,SE_PRE_PARTN,,F,,PT,A,0,,78.8
2022,SE_PRE_PARTN,,M,,PT,A,0,,67.0
2024,SE_PRE_PARTN,,M,,PT,A,0,,78.6
2024,SE_PRE_PARTN,ZW_BA,,,PT,A,0,ZW_BA,89.1
2024,SE_PRE_PARTN,ZW_HA,,,PT,A,0,ZW_HA,83.7
2024,SE_PRE_PARTN,ZW_MA,,,PT,A,0,ZW_MA,77.8
2024,SE_PRE_PARTN,ZW_MC,,,PT,A,0,ZW_MC,67.6
2024,SE_PRE_PARTN,ZW_ME,,,PT,A,0,ZW_ME,84.0
2024,SE_PRE_PARTN,ZW_MI,,,PT,A,0,ZW_MI,76.7
2024,SE_PRE_PARTN,ZW_MN,,,PT,A,0,ZW_MN,86.2
2024,SE_PRE_PARTN,ZW_MS,,,PT,A,0,ZW_MS,94.0
2024,SE_PRE_PARTN,ZW_MV,,,PT,A,0,ZW_MV,78.1
2024,SE_PRE_PARTN,ZW_MW,,,PT,A,0,ZW_MW,69.0
