Year,Observation status,Unit multiplier,Source details,Series,Reference area,Units,GeoCode,Value
2014,Normal value,Units,ZIMSTAT,SL_EMP_PCAP,,PT,,5.1
2015,Normal value,Units,ZIMSTAT,SL_EMP_PCAP,,PT,,5.027122029512384
2016,Normal value,Units,ZIMSTAT,SL_EMP_PCAP,,PT,,2.775098594381077
2017,Normal value,Units,ZIMSTAT,SL_EMP_PCAP,,PT,,3.815791821490322
2018,Normal value,Units,ZIMSTAT,SL_EMP_PCAP,,PT,,2.766771232516845
