Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,A,0,Layout_Plan_Records_LA_and_Ministry,EN_URB_OPENSP,,NUMBER,,50
2015,A,0,Layout_Plan_Records_LA_and_Ministry,EN_URB_OPENSP,,NUMBER,,50
2016,A,0,Layout_Plan_Records_LA_and_Ministry,EN_URB_OPENSP,,NUMBER,,50
2017,A,0,Layout_Plan_Records_LA_and_Ministry,EN_URB_OPENSP,,NUMBER,,50
2018,A,0,Layout_Plan_Records_LA_and_Ministry,EN_URB_OPENSP,,NUMBER,,50
2023,A,0,Layout_Plan_Records_LA_and_Ministry,EN_URB_OPENSP,,NUMBER,,50
2024,A,0,Layout_Plan_Records_LA_and_Ministry,EN_URB_OPENSP,,NUMBER,,75
