Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2022,Proportion of population aged 18-29 years who experienced sexual violence by age 18 [16.2.3],,Percent,Normal value,Units,,0.03
2023,Proportion of population aged 18-29 years who experienced sexual violence by age 18 [16.2.3],,Percent,Normal value,Units,,0.015
2024,Proportion of population aged 18-29 years who experienced sexual violence by age 18 [16.2.3],,Percent,Normal value,Units,,0.03
