Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2023,"Total expenditure per capita spent on cultural heritage, public [11.4.1]",,USD,Normal value,Units,,0.07
2024,"Total expenditure per capita spent on cultural heritage, public [11.4.1]",,USD,Normal value,Units,,0.07
