Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2023,SG_NHR_CMPLNC,,BOOL,A,0,,1
2024,SG_NHR_CMPLNC,,BOOL,A,0,,1
