Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2019,A,0,WASH_Coordination_Unit,SH_SAN_DEFECT,,PT,,64.2
2022,A,0,WASH_Coordination_Unit,SH_SAN_DEFECT,,PT,,68.7
2023,A,0,WASH_Coordination_Unit,SH_SAN_DEFECT,,PT,,78.4
2024,A,0,WASH_Coordination_Unit,SH_SAN_DEFECT,,PT,,81.0
