Year,Observation status,Unit multiplier,Source details,Series,Reference area,Units,GeoCode,Value
2018,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,GR_G14_GDP,,PT,,12.30594904147843
2019,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,GR_G14_GDP,,PT,,10.826308868243524
2020,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,GR_G14_GDP,,PT,,13.275288938588842
2021,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,GR_G14_GDP,,PT,,14.980043668502663
2023,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,GR_G14_GDP,,PT,,14.7
