Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2017,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,,PT,,21.6
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,,PT,,27.7
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,,PT,,38.7
