Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2019,SP_TRN_PUBL,,PT,A,0,,28
2020,SP_TRN_PUBL,,PT,A,0,,32
2021,SP_TRN_PUBL,,PT,A,0,,35
2022,SP_TRN_PUBL,,PT,A,0,,46
