Year,SOURCE_DETAIL,Series,Value
2023,CLAFA_2024,PD_AGR_LSFP,103449445.0
2024,CLAFA_2024,PD_AGR_LSFP,86396065.0
2015,ZimLac,PD_AGR_SSFP,0.28
2023,ZimLac,PD_AGR_SSFP,116.0
2024,ZimLac,PD_AGR_SSFP,88.0
