Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2010,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,19.7
2011,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,14.2
2012,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,16.7
2013,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,2.0
2014,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,2.4
2015,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,1.8
2016,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,0.8
2017,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,4.7
2018,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,4.8
2019,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,-6.3
2020,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,-7.8
2021,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,8.5
2022,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,7.4
2023,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,5.3
2024,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,,1.7
