Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2022,A,0,ZRP_Crime_Records,VC_VAW_SXVLN,,PT,,0.03
2023,A,0,ZRP_Crime_Records,VC_VAW_SXVLN,,PT,,0.015
2024,A,0,ZRP_Crime_Records,VC_VAW_SXVLN,,PT,,0.03
