Year,SERIES,Reference area,Sex,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2024,Proportion of population that feel safe walking alone around the area they live after dark [16.1.4],,,Percent,Normal value,Units,,65.0
2019,Proportion of population that feel safe walking alone around the area they live after dark [16.1.4],,Female,Percent,Normal value,Units,,47.9
2019,Proportion of population that feel safe walking alone around the area they live after dark [16.1.4],,Male,Percent,Normal value,Units,,82.8
