Year,SOURCE_DETAIL,AGE,Value
2015,ZIMSTAT,,31.9
2019,ZIMSTAT,,37.7
2023,ZIMSTAT,,37.0
2019,Zimstat_2022_PHC,Y20T24,33.7
2022,Zimstat_2022_PHC,Y20T24,16.2
2023,Zimstat_2022_PHC,Y20T24,18.9
