Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2019,SP_DYN_MRBF15,,F,Y0T14,PT,A,0,,5.4
2024,SP_DYN_MRBF15,,F,Y0T14,PT,A,0,,5.0
2019,SP_DYN_MRBF18,,F,Y0T14,PT,A,0,,5.4
2022,SP_DYN_MRBF18,,F,Y0T17,PT,A,0,,16.2
2023,SP_DYN_MRBF18,,F,Y0T17,PT,A,0,,18.9
2024,SP_DYN_MRBF18,,F,Y0T17,PT,A,0,,33.7
