Year,SERIES,Reference area,Age,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,under 5 years old,Percent,Normal value,Units,,61.8
2019,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,under 5 years old,Percent,Normal value,Units,,70.8
