Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2024,A,0,EMIS_2024,SE_ACS_CMPTR,,AGG_0_1,PT,,34.73
2024,A,0,EMIS_2024,SE_ACS_CMPTR,,AGG_2_3,PT,,48.14
2024,A,0,EMIS_2024,SE_ACS_CMPTR,,ISCED11_1,PT,,34.73
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_BA,AGG_0_1,PT,ZW_BA,51.74
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_BA,AGG_2_3,PT,ZW_BA,68.18
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_BA,ISCED11_1,PT,ZW_BA,51.74
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_HA,AGG_0_1,PT,ZW_HA,58.87
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_HA,AGG_2_3,PT,ZW_HA,70.37
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_HA,ISCED11_1,PT,ZW_HA,58.87
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MA,AGG_0_1,PT,ZW_MA,30.18
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MA,AGG_2_3,PT,ZW_MA,46.64
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MA,ISCED11_1,PT,ZW_MA,30.18
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MC,AGG_0_1,PT,ZW_MC,29.32
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MC,AGG_2_3,PT,ZW_MC,39.05
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MC,ISCED11_1,PT,ZW_MC,29.32
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_ME,AGG_0_1,PT,ZW_ME,39.24
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_ME,AGG_2_3,PT,ZW_ME,42.02
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_ME,ISCED11_1,PT,ZW_ME,39.24
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MI,AGG_0_1,PT,ZW_MI,29.21
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MI,AGG_2_3,PT,ZW_MI,47.89
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MI,ISCED11_1,PT,ZW_MI,29.21
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MN,AGG_0_1,PT,ZW_MN,27.19
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MN,AGG_2_3,PT,ZW_MN,45.33
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MN,ISCED11_1,PT,ZW_MN,27.19
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MS,AGG_0_1,PT,ZW_MS,48.13
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MS,AGG_2_3,PT,ZW_MS,50.52
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MS,ISCED11_1,PT,ZW_MS,48.13
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MV,AGG_0_1,PT,ZW_MV,28.26
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MV,AGG_2_3,PT,ZW_MV,45.99
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MV,ISCED11_1,PT,ZW_MV,28.26
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MW,AGG_0_1,PT,ZW_MW,27.13
2024,A,0,EMIS_2024,SE_ACS_CMPTR,ZW_MW,AGG_2_3,PT,ZW_MW,42.35
