Year,SERIES,Reference area,Age,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2017,Proportion of children engaged in economic activity and household chores [8.7.1],,5 to 17 years old,Percent,Normal value,Units,,9.1
2019,Proportion of children engaged in economic activity and household chores [8.7.1],,5 to 17 years old,Percent,Normal value,Units,,1.2
