Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2022,A,0,MOFEDIP,DC_ODA_POVG,,NUMBER,,0.029
2023,A,0,MOFEDIP,DC_ODA_POVG,,NUMBER,,0.033
