Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2023,Normal value,Units,MoFEDIP_DEVPROMIS,"Total resource flows for development, by recipient and donor countries [10.b.1]",,USD,,886706286.37
2024,Normal value,Units,MoFEDIP_DEVPROMIS,"Total resource flows for development, by recipient and donor countries [10.b.1]",,USD,,772576720.84
