Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2021,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,1.78
2022,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,1.51
2023,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.67
2024,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,1.58
