Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (CO₂ equivalent) [13.2.2],,Percent,Normal value,Units,,29.86
2016,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (CO₂ equivalent) [13.2.2],,Percent,Normal value,Units,,30.24
2017,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (CO₂ equivalent) [13.2.2],,Percent,Normal value,Units,,30.62
2023,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (CO₂ equivalent) [13.2.2],,Percent,Normal value,Units,,37.98
