Indicator,Disaggregation combinations using this value
#1-1-1,4
#1-2-1,3
#16-1-1,1
#16-2-2,1
#16-9-1,1
#16-b-1,1
#2-2-1,1
#2-2-2,1
#3-2-1,1
#3-2-2,1
#3-a-1,1
#4-1-1,2
#4-1-2,2
#4-2-2,1
#4-4-1,2
#4-6-1,1
#5-b-1,1
#8-3-1,11
#8-5-2,11
#8-6-1,11
