Indicator,Disaggregation combinations using this value
#11-1-1,1
#17-8-1,1
#3-1-1,1
#3-1-2,1
#3-2-1,1
#3-2-2,1
#3-7-1,1
#3-b-1,3
#8-5-2,3
#8-6-1,3
