Indicator
#12-c-1
#14-1-1
#14-5-1
#14-6-1
#14-a-1
#16-1-2
#3-3-4
#3-4-1
#3-5-1
#3-9-1
#3-9-2
#3-9-3
#3-d-2
#5-3-2
#8-a-1
