Value,en,Disaggregation combinations using this value,Number of indicators
AGG_0_1,Primary education or less,16,2
AGG_1_2,Primary and lower secondary education (basic education),3,1
AGG_2_3,Secondary education (lower and upper secondary education),22,1
ISCED11_1,Primary education,34,2
ISCED11_2,Lower secondary education,1,1
