Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2017,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,"Per 100,000 population",Normal value,Units,,158
2023,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,"Per 100,000 population",Normal value,Units,,237
