Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Energy intensity level of primary energy [7.3.1],,Percent,Normal value,Units,,41.5
2016,Energy intensity level of primary energy [7.3.1],,Percent,Normal value,Units,,38.0
2022,Energy intensity level of primary energy [7.3.1],,Percent,Normal value,Units,,38.2
2023,Energy intensity level of primary energy [7.3.1],,Percent,Normal value,Units,,39.75
