Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2017,SP_ACS_BSRV,,PT,A,0,,36.9
2024,SP_ACS_BSRVH2O,,PT,A,0,,72.0
2024,SP_ACS_BSRVSAN,,PT,A,0,,46.0
