Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2024,SH_PRV_SMOK,,F,Y15T49,PT,A,0,,1.5
2024,SH_PRV_SMOK,,M,Y15T49,PT,A,0,,19.2
