Year,Observation status,Unit multiplier,Source details,Series,Reference area,Units,GeoCode,Value
2023,Normal value,Units,CLAFA_2024,PD_AGR_LSFP,,CON_USD,,103449445.0
2024,Normal value,Units,CLAFA_2024,PD_AGR_LSFP,,CON_USD,,86396065.0
2015,Normal value,Units,ZimLac,PD_AGR_SSFP,,CON_USD,,0.28
2023,Normal value,Units,ZimLac,PD_AGR_SSFP,,CON_USD,,116.0
2024,Normal value,Units,ZimLac,PD_AGR_SSFP,,CON_USD,,88.0
