Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2015,A,0,TBA,VC_VOV_PHYL,,PT,,0.0
2023,A,0,TBA,VC_VOV_PHYL,,PT,,0.85
