Year,SERIES,Reference area,Sex,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,Proportion of women in managerial positions - 19th ICLS (%) [5.5.2],,Female,Percent,Normal value,Units,,27.6
2017,Proportion of women in managerial positions - 19th ICLS (%) [5.5.2],,Female,Percent,Normal value,Units,,31.0
2023,Proportion of women in managerial positions - 19th ICLS (%) [5.5.2],,Female,Percent,Normal value,Units,,34.0
