Year,Observation status,Unit multiplier,Source details,Series,Reference area,Units,GeoCode,Value
2015,Normal value,Units,MOEPD_Zimstat,EG_FEC_RNEW,,PT,,41.5
2016,Normal value,Units,MOEPD_Zimstat,EG_FEC_RNEW,,PT,,38.0
2022,Normal value,Units,MOEPD_Zimstat,EG_FEC_RNEW,,PT,,38.2
2023,Normal value,Units,MOEPD_Zimstat,EG_FEC_RNEW,,PT,,39.75
