Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2010,Crude death rate attributed to household and ambient air pollution [3.9.1],,"Per 1,000 population",Normal value,Units,,238
2019,Crude death rate attributed to household and ambient air pollution [3.9.1],,"Per 1,000 population",Normal value,Units,,191
