Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2016,Universal health coverage (UHC) service coverage index [3.8.1],,Index,Normal value,Units,,93.3
2018,Universal health coverage (UHC) service coverage index [3.8.1],,Index,Normal value,Units,,85.0
2023,Universal health coverage (UHC) service coverage index [3.8.1],,Index,Normal value,Units,,84.0
