Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2017,Growth rates of household expenditure or income per capita [10.1.1],,Percent,Normal value,Units,,1.7
2019,Growth rates of household expenditure or income per capita [10.1.1],,Percent,Normal value,Units,,1.4
