Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2024,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],,Female,15 to 49 years old,Percent,Normal value,Units,,1.5
2024,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],,Male,15 to 49 years old,Percent,Normal value,Units,,19.2
