Year,Observation status,Unit multiplier,Source details,Series,Reference area,Sex,Units,GeoCode,Value
2019,Normal value,Units,Zimstat_MICS_2019,VC_SNS_WALN,,Female,PT,,47.9
2019,Normal value,Units,Zimstat_MICS_2019,VC_SNS_WALN,,Male,PT,,82.8
