Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2024,Normal value,Units,MoFED,Hazardous waste generated (Tonnes) [12.4.2],,Metric Tons,,122
2024,Normal value,Units,MoFED,Municipal waste generated (Tonnes) [12.4.2],,Metric Tons,,122
