Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2024,Normal value,Units,PARLIAMENT,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",,,Number,,359
2024,Normal value,Units,PARLIAMENT,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",,Female,Percent,,35
2024,Normal value,Units,PARLIAMENT,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",,Male,Percent,,65
