Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2020,"Total official flows for infrastructure, by recipient countries [9.a.1]",,USD,Normal value,Units,,21511425
2021,"Total official flows for infrastructure, by recipient countries [9.a.1]",,USD,Normal value,Units,,20124252
2022,"Total official flows for infrastructure, by recipient countries [9.a.1]",,USD,Normal value,Units,,32798962
2023,"Total official flows for infrastructure, by recipient countries [9.a.1]",,USD,Normal value,Units,,28243713
2024,"Total official flows for infrastructure, by recipient countries [9.a.1]",,USD,Normal value,Units,,12735178
