Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2023,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,,14.5
2024,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,,15.0
