Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Number of companies publishing sustainability reports [12.6.1],,Number,Normal value,Units,,6
2024,Number of companies publishing sustainability reports [12.6.1],,Number,Normal value,Units,,77
