Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2010,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,19.7
2011,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,14.2
2012,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,16.7
2013,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,2.0
2014,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,2.4
2015,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,1.8
2016,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,0.8
2017,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,4.7
2018,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,4.8
2019,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,-6.3
2020,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,-7.8
2021,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,8.5
2022,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,7.4
2023,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,5.3
