Year,Observation status,Unit multiplier,Source details,Series,Reference area,Sex,Age,Units,GeoCode,Value
2019,Normal value,Units,Zimstat_MICS_2019,SE_ADT_ACTS,,Female,15 to 24 years old,PT,,14.7
2019,Normal value,Units,Zimstat_MICS_2019,SE_ADT_ACTS,,Female,15 to 49 years old,PT,,13.1
2019,Normal value,Units,Zimstat_MICS_2019,SE_ADT_ACTS,,Male,15 to 24 years old,PT,,21.6
2019,Normal value,Units,Zimstat_MICS_2019,SE_ADT_ACTS,,Male,15 to 49 years old,PT,,22.3
