Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2021,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,Normal value,Units,,1020817
2022,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,Normal value,Units,,4989852
2023,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,Normal value,Units,,666319
2024,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,Normal value,Units,,4690220
