Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Normal value,Units,,1.34
2020,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Normal value,Units,,1.31
2021,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Normal value,Units,,1.3
2022,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Normal value,Units,,1.62
2023,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Normal value,Units,,1.57
2024,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Normal value,Units,,1.6
