Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2023,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control [5.a.2],,Boolean or binary measure,Normal value,Units,,1
2024,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control [5.a.2],,Boolean or binary measure,Normal value,Units,,1
