Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2020,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,USD,Normal value,Units,,50.5
2021,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,USD,Normal value,Units,,40.9
2022,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,USD,Normal value,Units,,128.4
2023,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,USD,Normal value,Units,,94.0
2024,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,USD,Normal value,Units,,30.0
