Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2021,Normal value,Units,MoFED,Foreign direct investment (FDI) inflows [17.3.1],,Percent,,1.2
2023,Normal value,Units,MoFED,Foreign direct investment (FDI) inflows [17.3.1],,Percent,,2.0
