Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,Index,Normal value,Units,,1.0
2024,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,Index,Normal value,Units,,1.0
2019,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Index,Normal value,Units,,1.19
2024,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Index,Normal value,Units,,0.91
