Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2023,"Total resource flows for development, by recipient and donor countries [10.b.1]",,USD,Normal value,Units,,886706286.37
2024,"Total resource flows for development, by recipient and donor countries [10.b.1]",,USD,Normal value,Units,,772576720.84
