Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2023,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,Normal value,Units,,0.385
2024,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,Normal value,Units,,0.21
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Metric Tons,Normal value,Units,,0.254
2024,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Metric Tons,Normal value,Units,,117.0
2023,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,Normal value,Units,,18576062.7
2024,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,Normal value,Units,,15287153.38
