Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,MLGPWNH_CPU,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,"Per 100,000 population",,158
2023,Normal value,Units,MLGPWNH_CPU,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,"Per 100,000 population",,237
