Year,Observation status,Unit multiplier,Source details,Series,Reference area,Units,GeoCode,Value
2022,Normal value,Units,MOFEDIP,SD_XPD_MNPO,,PT,,3.1
2023,Normal value,Units,MOFEDIP,SD_XPD_MNPO,,PT,,1.1
