Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Normal value,Units,UNDRR_CPU,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",,Number,,702363
2019,Normal value,Units,UNDRR_CPU,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,,344
2019,Normal value,Units,UNDRR_CPU,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,,344
