Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2016,Mortality rate attributed to unintentional poisonings [3.9.3],,"Per 1,000 population",Normal value,Units,,2.2
2024,Mortality rate attributed to unintentional poisonings [3.9.3],,"Per 1,000 population",Normal value,Units,,2.1
