Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Forest area as a proportion of total land area [15.1.1],,Percent,Normal value,Units,,45.69
2016,Forest area as a proportion of total land area [15.1.1],,Percent,Normal value,Units,,45.57
2017,Forest area as a proportion of total land area [15.1.1],,Percent,Normal value,Units,,45.45
2018,Forest area as a proportion of total land area [15.1.1],,Percent,Normal value,Units,,45.33
2019,Forest area as a proportion of total land area [15.1.1],,Percent,Normal value,Units,,45.21
2020,Forest area as a proportion of total land area [15.1.1],,Percent,Normal value,Units,,45.09
2024,Forest area as a proportion of total land area [15.1.1],,Percent,Normal value,Units,,47.0
