Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2024,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,Urban,Percent,Normal value,Units,,41.2
2024,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,Urban,Percent,Normal value,Units,,50.7
