Year,Observation status,Unit multiplier,Source details,Series,Reference area,Sex,Units,GeoCode,Value
2014,Normal value,Units,Constitution,IC_GEN_MGTL_19ICLS,,Female,PT,,27.6
2017,Normal value,Units,Constitution,IC_GEN_MGTL_19ICLS,,Female,PT,,31.0
2023,Normal value,Units,Constitution,IC_GEN_MGTL_19ICLS,,Female,PT,,34.0
